# ----------------------------------------
# Página de destino: Página de destino
# Account: Cuenta de Google Ads
# Property: www.cosasnuestras.cl - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260501
Landing page,Average engagement time per active user,Bounce rate,Sessions,Event count,Add to carts,Checkouts,Ecommerce purchases,Session key event rate,Total revenue
/products/portatermo-tela-oxford-doble-compartimiento,46.111111111111114,1,39,223,6,6,1,0.07692307692307693,59980.000399
/products/mate-cocido-rosamonte-en-saquitos-25-unidades,26.608695652173914,1,48,220,4,0,0,0.041666666666666664,0
/collections/termos/products/set-matero-acero-inox-con-mate-y-bombilla-negro,88.5625,0.9615384615384616,26,216,5,2,1,0.11538461538461539,19989.999832
/collections/ofertas,2.484126984126984,1,126,215,0,0,0,0,0
/products/mate-vidrio-copa-arpillera,35.34285714285714,1,35,214,0,1,0,0.02857142857142857,0
/products/mate-vidrio-copa-eco-cuero-guardapampa-rojo,57.83870967741935,0.9696969696969697,33,214,3,0,0,0.06060606060606061,0
/products/yerba-mate-cachamate-pampeana-500grs,7.548387096774194,1,68,208,2,0,0,0.029411764705882353,0
/collections/guia-de-regalos-de-cosas-nuestras-hasta-19990,88.3,0.9545454545454546,22,207,1,2,0,0.09090909090909091,0
/categoria/el-club-del-mate/page/5,1.596774193548387,1,124,205,0,0,0,0,0
/collections/salsas,1.3488372093023255,1,129,205,0,0,0,0,0
/collections/accesorios-para-mate,68.0909090909091,1,22,198,2,1,0,0.09090909090909091,0
/products/caja-mayorista-15-bombillas-ii,82.85,1,21,198,3,1,1,0.047619047619047616,46979.999769
/products/kit-mate-crema-con-bombilla,24.2972972972973,1,38,197,0,0,0,0,0
/collections/dulces-y-condimentos,24.543478260869566,0.9807692307692307,52,193,10,1,0,0.057692307692307696,0
/products/mate-vidrio-eco-cuero-con-base,20.4390243902439,1,42,193,0,0,0,0,0
/products/kit-latas-lentes-mate-sabio-patitas-blanco,29.666666666666668,0.9705882352941176,34,187,1,0,0,0.029411764705882353,0
/products/termo-mate-system-blanco-1-2-l-acero-inoxidable-copia,51.733333333333334,1,21,183,2,1,0,0.09523809523809523,0
/products/yerba-mate-rosamonte-suave-500-grs,19,1,45,181,0,1,0,0.022222222222222223,0
/collections/accesorios-parrilla,1.801980198019802,1,101,178,0,0,0,0,0
/collections/bolso-matero/products/set-matero-cafe-claro,52.875,0.9696969696969697,33,177,2,2,1,0.030303030303030304,26990.000031
/categoria/el-kiosco/galleteras,1.5588235294117647,1,102,176,0,0,0,0,0
/products/termo-lumilagro-tango-cosas-nuestras-x6,35.45161290322581,1,37,170,1,1,0,0.02702702702702703,0
/products/mate-calabaza-brasilero,20.972972972972972,1,42,169,0,0,0,0,0
